what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196634023
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398196634048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196663929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196666444
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1398196681474
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1398196682211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398196730971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196744695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196757321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196771446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196775837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196776565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196778116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398196798880
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398196801156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196806897
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1398196808271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196809118
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1398196809261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196824429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398196825796
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398196825809
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398196825836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1398196826947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1398196827408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1398196827989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1398196828559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1398196829009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1398196830787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1398196831669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1398196832339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1398196832923
